,Text,Predicted
0,aaclkul,student
1,aagelci,department
2,aangjmn,other
3,aawnpc,other
4,abdjgiz,student
5,abeith,other
6,acbplmv,faculty
7,aceolgzx,other
8,aeohgccl,other
9,afdtazl,other
10,ahomx,faculty
11,aigkvvw,student
12,aiiuj,course
13,aimch,other
14,aiqltd,course
15,aishkqu,other
16,aixqtudn,other
17,aizdnscx,other
18,ajgfhfc,student
19,ajjwszik,other
20,akbfdvs,other
21,aktnyrw,student
22,alfaog,course
23,aljsfwq,student
24,alrywqkr,student
25,altuxox,other
26,altxhm,other
27,amowrsh,other
28,ampuskyi,faculty
29,amvukjdd,other
30,amwcmt,other
31,amzuns,other
32,anjxcrs,faculty
33,anpusdof,course
34,apakwv,other
35,apcgc,student
36,apkhal,student
37,aplafmip,faculty
38,apmwy,other
39,apnbs,other
40,appjcc,other
41,aqhzllis,faculty
42,aqsrcsy,department
43,arwvjftm,student
44,arzeerl,student
45,asani,course
46,asjtpgrs,faculty
47,aslkxlcr,other
48,asmucefp,other
49,aspksukx,faculty
50,aspnkeit,other
51,audtaxh,other
52,augeudkf,course
53,augwaud,other
54,aunqt,course
55,avemi,student
56,awioiejc,faculty
57,awlal,student
58,axgkxmj,other
59,axphpch,other
60,aykqf,staff
61,ayteap,project
62,azndzp,project
63,bbgkx,other
64,bcsrsbug,faculty
65,bdcydd,faculty
66,bdptkaio,other
67,bdwiu,other
68,begqls,other
69,beoczxhp,other
70,beoyl,project
71,beveykcq,other
72,bfiznf,other
73,bghlh,student
74,bgnisk,student
75,bgudhc,other
76,bgxblaq,faculty
77,bhjnxfeq,student
78,bhkvqidu,student
79,bhlwohi,other
80,bhptsyjz,student
81,bhuwf,other
82,bhzijblm,other
83,biaio,student
84,bilwr,other
85,bjjitsgt,other
86,bjwiuevz,other
87,bjzfnftw,project
88,blobw,other
89,bmmzflr,other
90,bnbsv,student
91,boarhn,other
92,bodmvxdf,project
93,bofjb,other
94,bondtsrh,faculty
95,bovyrx,other
96,bpblgwar,department
97,bphhvc,other
98,bpjzrlxy,other
99,bpxla,other
100,bqbvlmis,other
101,bqcuk,project
102,bqfbagmb,student
103,brhotofi,faculty
104,brmtqcj,other
105,brorn,other
106,browzov,course
107,brwup,other
108,brzpgboe,faculty
109,bsjgc,other
110,bsjsuzw,other
111,bslps,other
112,btpdso,faculty
113,btrlegkg,other
114,bttjq,other
115,bulvw,student
116,bumcmpt,other
117,bvabh,other
118,bvkkhgyo,course
119,bvnniatg,other
120,bvtwusw,course
121,bvvko,course
122,bwjjh,course
123,bwvavr,faculty
124,bxwnlyu,other
125,bxxlthi,course
126,bypmk,student
127,byyxifzz,student
128,bzavavce,other
129,bzbyv,other
130,bzthieu,department
131,caaelf,student
132,caecfi,other
133,caeck,course
134,caogdi,student
135,cbdxh,student
136,cbuuznl,other
137,ccbje,other
138,cddmp,other
139,cdhwa,other
140,cdruyo,other
141,cehogf,faculty
142,cenlf,other
143,cfcynn,faculty
144,cfsvmoen,other
145,cftid,other
146,cfwzqt,project
147,cgjuowc,faculty
148,charmfhj,other
149,chwusgl,other
150,cifmtm,faculty
151,cifyk,other
152,cioumfyi,course
153,ciuipt,other
154,ciwmb,other
155,cjnrzzmk,other
156,cjnxondy,other
157,ckemt,student
158,cketrvj,other
159,ckhzgl,project
160,clcydbp,faculty
161,clkaoj,course
162,clpyjrid,project
163,clsxoodd,course
164,cnhjk,other
165,cnlce,faculty
166,coomnevj,other
167,cotsv,course
168,cqksepwt,other
169,cqqqjx,project
170,cqtek,course
171,cqyvoud,other
172,cqzxj,other
173,crbexe,other
174,crusceee,other
175,ctfljg,faculty
176,ctshqqfo,other
177,cvxtmt,project
178,cwlxvwh,course
179,cxdpjw,student
180,cxjmjdh,faculty
181,cxvkh,course
182,czkze,faculty
183,czvftspe,other
184,czwglks,other
185,dbtooseb,other
186,dcbnebw,faculty
187,dcidctu,faculty
188,dclyjjg,other
189,ddgreszb,other
190,ddlpfjed,student
191,ddsnlb,faculty
192,ddurpci,faculty
193,ddwoml,project
194,debuzvc,other
195,deopslyp,student
196,deqwxxpt,other
197,devpg,course
198,dfuhpn,other
199,dfvnobj,student
200,dfzdiiy,faculty
201,dgppgjr,other
202,dhrezf,other
203,dhtdvz,other
204,digdken,other
205,djqfg,project
206,djrcms,other
207,dkgpnac,other
208,dkzacj,student
209,dmdjwh,student
210,dmiti,student
211,dmxjlh,faculty
212,doihof,other
213,dqhfisnj,other
214,dqxgzzq,faculty
215,dsnfmpl,department
216,dsvfsknw,student
217,duevfegy,other
218,duewkd,other
219,duhyq,project
220,dupih,student
221,dupnrc,project
222,duztbzxs,other
223,dvtry,faculty
224,dwsrmkmd,course
225,dxratuv,department
226,dxwljzj,project
227,dykbpos,course
228,dyruktbc,other
229,dyzbzmd,student
230,eanugl,other
231,eapzf,other
232,ecpfwumt,other
233,eechlt,other
234,eenhsx,other
235,eeqnxdb,other
236,eezqfeb,faculty
237,efkum,other
238,egjrrq,student
239,egqhoaq,faculty
240,eicecdq,faculty
241,eicifodp,course
242,eihif,other
243,eisomf,other
244,ejdmt,other
245,ejygdjl,student
246,ekauzlfp,student
247,eksgz,other
248,ekwtr,other
249,elbnnrs,other
250,elgcpgx,department
251,elsgfepj,other
252,emjhblgl,other
253,empwxl,other
254,emtufqje,course
255,enikcsv,other
256,eoohbumy,course
257,epftt,other
258,eplubxxs,other
259,eporowdg,other
260,epuimb,student
261,epxzvm,other
262,erxspdd,other
263,eshbrq,other
264,esjxb,faculty
265,espxbh,student
266,estbkk,course
267,esxrrht,staff
268,etibjjjs,student
269,eudatvy,other
270,evegw,other
271,evwphope,project
272,ewlew,student
273,ewnonvxy,other
274,ewsktq,project
275,ewwcso,project
276,exatc,faculty
277,excvdwzh,other
278,exiitk,other
279,eyaswbjz,other
280,eygbw,other
281,eyjdhqq,staff
282,eysee,project
283,eytliaib,student
284,eyvafkd,student
285,eyxtv,faculty
286,ezpaic,other
287,fajpkgj,student
288,faprw,other
289,faqoft,student
290,fbcvban,student
291,fbzij,other
292,fcpcxixw,department
293,fcwjgf,project
294,fczhavit,other
295,fdxcbwrj,other
296,feavav,student
297,feeuawp,course
298,fekdcta,other
299,ffcrqo,course
300,ffczrnz,faculty
301,ffqtge,other
302,ffrkhfcp,other
303,fgnuh,other
304,fhalcyxq,faculty
305,fhayg,faculty
306,fhszf,other
307,fhwlo,student
308,fimnwyjw,project
309,fizgc,student
310,fjxpjfez,student
311,fksba,other
312,fkvuit,course
313,flectkq,other
314,flgtpxn,faculty
315,fmahjld,other
316,fmjcrj,other
317,fmmiki,other
318,fmqwylsg,student
319,fndgjmzm,other
320,fnqkojm,course
321,fnsurvey,course
322,fppga,other
323,fpwuad,other
324,fqealu,other
325,fqkyhcel,other
326,fqnaj,student
327,fromyknh,other
328,fsjvm,other
329,ftipfpcv,course
330,fudhjb,student
331,fugmzdml,other
332,fuvxncl,other
333,fuxozggi,other
334,fvcnksd,other
335,fvgngpl,student
336,fvuyfjv,faculty
337,fwzhcxrx,course
338,fxabo,other
339,fxqhlu,other
340,fygug,other
341,fzgowhq,other
342,fzuwzk,student
343,fzyjwl,other
344,gaqepyeo,student
345,gazyznk,faculty
346,gbmsh,other
347,gbumd,student
348,gbvqwbe,student
349,gbzlhhl,course
350,gciirlh,other
351,gdgvwifk,other
352,gdpex,faculty
353,gduwb,student
354,gdxmso,student
355,gedcirqa,other
356,geiruvj,faculty
357,gevdzsvt,other
358,gfpmjx,student
359,gfvefxbu,other
360,gfwdbf,other
361,gfyrwma,other
362,ggozukjr,other
363,ghxnl,faculty
364,gieoqvia,other
365,gjhhavd,other
366,gjpcxt,student
367,gjtxqp,other
368,gjuhqzdv,other
369,gkdnf,other
370,gkhact,faculty
371,gkqtn,other
372,gkvqoukw,project
373,gnaju,other
374,gnothl,other
375,gnrotudd,student
376,gnzbtght,other
377,gotjzb,other
378,gowqht,course
379,goxgfr,student
380,gqgtsy,other
381,grddrzm,other
382,gtbdebp,course
383,gtchjnzw,faculty
384,gtdarzt,other
385,gtdctoah,other
